Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;0;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 4,989,400.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;0;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 796,900.00;$ 796,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 2,576,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.03.001.05;20;Sanciones administrativas;0;$ 0.00;$ 39,200.00;$ 7,000.00;$ 73,500.00;$ 122,500.00;$ 315,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.02;21;Devolución IVA - Instituciones de Educación Superior;4587997825;$ 0.00;$ 868,975,011.00;$ 0.00;$ 1,113,860,579.00;$ 0.00;$ 1,259,061,873.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.015;21;Recursos del balance - Devolucion IVA;953393273;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;0;$ 1,907,600.00;$ 9,242,000.00;$ 0.00;$ 1,230,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;0;$ 0.00;$ 2,418,693.00;$ 1,464,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;212479362;$ 89,827,800.00;$ 7,687,500.00;$ 0.00;$ 14,760,000.00;$ 0.00;$ 9,225,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;372975795;$ 0.00;$ 0.00;$ 19,260,700.00;$ 0.00;$ 262,600.00;$ 44,562,700.00;$ 12,256,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;10527470904;$ 262,479,878.00;$ 2,077,633,445.00;$ 1,062,567,171.00;$ 317,263,808.00;$ 522,572,629.00;$ 81,956,510.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;14917592;$ 6,312,000.00;$ 8,417,000.00;$ 2,530,100.00;$ 1,576,000.00;$ 1,024,000.00;$ 12,188,500.00;$ 922,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.2.10.02.003;31;Recursos del balance - Posgrados;179478068;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
