Unidad;Código concepto;Concepto;Recurso;Valor inicial;Valor aforo;Total recaudo;Fecha final
14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 4,441,320.00;$ 4,441,320.00;$ 1,537,500.00;25/08/2026
14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 11,103,300.00;$ 11,103,300.00;$ 0.00;25/08/2026
14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 194,307,750.00;$ 194,307,750.00;$ 0.00;25/08/2026
14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 307,500.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 138,200,000.00;$ 138,200,000.00;$ 151,136,600.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 238,000,000.00;$ 238,000,000.00;$ 165,469,000.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 5,202,000,000.00;$ 5,369,355,118.57;$ 6,101,143,594.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 22,776,000.00;25/08/2026
02 - INVESTIGACION Y EXTENSION;1.2.13.01.004;Ingresos de Vigencias Anteriores - Extension;31-Posgrados;$ 0.00;$ 0.00;$ 20,500,000.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 2,391,111,981.81;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 0.00;$ 0.00;$ 6,250,000.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.05.001.09.01.01;Extension;32-Extension;$ 10,000,000.00;$ 46,690,000.00;$ 56,965,085.00;25/08/2026
