Vigencia;Unidad;Gasto;Objeto;Tipo de Gastos;Código concepto;Código recurso;Código fuente;Concepto;Valor poa_inicial;Valor modificaciones;Valor programado_poa;Valor solicitudes;Valor disponible_poa
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.002.12.02.03;10.0;APN;Beneficios a los empleados a largo plazo docentes;$ 0,00;$ 1.000.000,00;$ 1.000.000,00;$ 13.014,00;$ 986.986,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.001;10.0;APN;Aportes a la seguridad social en pensiones;$ 11.531.608.080,00;-$ 2.415.479.725,00;$ 9.116.128.355,00;$ 9.115.762.360,00;$ 365.995,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.001;10.5;APN;Aportes a la seguridad social en pensiones;$ 965.006.788,00;$ 0,00;$ 965.006.788,00;$ 961.354.388,00;$ 3.652.400,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.001;18;APN;Aportes a la seguridad social en pensiones;$ 427.778.274,00;$ 0,00;$ 427.778.274,00;$ 306.283.712,00;$ 121.494.562,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.001;20;ADM;Aportes a la seguridad social en pensiones;$ 136.548.838,00;$ 0,00;$ 136.548.838,00;$ 0,00;$ 136.548.838,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.001;21;ADM;Aportes a la seguridad social en pensiones;$ 1.254.481.890,00;$ 0,00;$ 1.254.481.890,00;$ 0,00;$ 1.254.481.890,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.002;10.0;APN;Aportes a la seguridad social en salud;$ 9.547.392.171,00;$ 0,00;$ 9.547.392.171,00;$ 6.382.543.502,00;$ 3.164.848.669,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.002;10.5;APN;Aportes a la seguridad social en salud;$ 823.182.998,00;$ 0,00;$ 823.182.998,00;$ 823.182.998,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.002;20;ADM;Aportes a la seguridad social en salud;$ 96.343.708,00;$ 0,00;$ 96.343.708,00;$ 0,00;$ 96.343.708,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.002;21;ADM;Aportes a la seguridad social en salud;$ 1.070.114.921,00;$ 0,00;$ 1.070.114.921,00;$ 0,00;$ 1.070.114.921,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.003;10.0;APN;Aportes de cesantías ;$ 11.635.262.524,00;-$ 1.100.000.000,00;$ 10.535.262.524,00;$ 7.460.274.469,00;$ 3.074.988.055,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.003;10.5;APN;Aportes de cesantías ;$ 945.540.266,00;$ 0,00;$ 945.540.266,00;$ 909.398.454,00;$ 36.141.812,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.003;20;ADM;Aportes de cesantías ;$ 117.664.899,00;$ 0,00;$ 117.664.899,00;$ 0,00;$ 117.664.899,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.003;21;ADM;Aportes de cesantías ;$ 1.229.175.954,00;$ 0,00;$ 1.229.175.954,00;$ 0,00;$ 1.229.175.954,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.004;10.0;APN;Aportes a cajas de compensación familiar;$ 5.615.981.130,00;$ 0,00;$ 5.615.981.130,00;$ 3.409.790.491,00;$ 2.206.190.639,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.004;10.5;APN;Aportes a cajas de compensación familiar;$ 429.505.309,00;$ 0,00;$ 429.505.309,00;$ 429.505.309,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.004;20;ADM;Aportes a cajas de compensación familiar;$ 56.671.439,00;$ 0,00;$ 56.671.439,00;$ 0,00;$ 56.671.439,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.02.004;21;ADM;Aportes a cajas de compensación familiar;$ 558.344.914,00;$ 0,00;$ 558.344.914,00;$ 0,00;$ 558.344.914,00
