Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 225,000.00;$ 0.00;$ 0.00;$ 0.00;$ 135,000.00;$ 476,000.00;$ 213,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 4,989,400.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 2,524,130.00;$ 796,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 2,576,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 3,010,000.00;$ 1,134,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
15 - SEDE REGIONAL AGUAZUL;1.1.02.03.001.05;20;Sanciones administrativas;$ 0.00;$ 39,200.00;$ 7,000.00;$ 73,500.00;$ 122,500.00;$ 315,000.00;$ 220,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.02;21;Devolución IVA - Instituciones de Educación Superior;$ 0.00;$ 868,975,011.00;$ 0.00;$ 1,113,860,579.00;$ 0.00;$ 1,259,061,873.00;$ 1,430,305,394.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.015;21;Recursos del balance - Devolucion IVA;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 1,907,600.00;$ 9,242,000.00;$ 0.00;$ 1,230,000.00;$ 0.00;$ 0.00;$ 8,610,000.00;$ 3,690,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 0.00;$ 2,418,693.00;$ 1,464,500.00;$ 0.00;$ 0.00;$ 0.00;$ 2,418,693.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 89,827,800.00;$ 7,687,500.00;$ 0.00;$ 14,760,000.00;$ 0.00;$ 9,225,000.00;$ 307,500.00;$ 56,887,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;$ 0.00;$ 0.00;$ 19,260,700.00;$ 0.00;$ 262,600.00;$ 44,562,700.00;$ 98,055,900.00;$ 875,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 262,479,878.00;$ 2,077,633,445.00;$ 1,062,567,171.00;$ 317,263,808.00;$ 522,572,629.00;$ 81,956,510.00;$ 1,895,086,147.00;$ 1,582,352,998.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;$ 6,312,000.00;$ 8,417,000.00;$ 2,530,100.00;$ 1,576,000.00;$ 1,024,000.00;$ 12,188,500.00;$ 12,555,000.00;$ 3,758,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.2.10.02.003;31;Recursos del balance - Posgrados;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 23,600,100.00;$ 2,152,500.00;$ 0.00;$ 5,842,500.00;$ 0.00;$ 7,072,500.00;$ 0.00;$ 20,602,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;$ 0.00;$ 1,751,000.00;$ 2,626,500.00;$ 0.00;$ 875,500.00;$ 6,128,500.00;$ 12,257,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 48,273,732.00;$ 323,567,265.00;$ 266,220,199.00;$ 39,356,928.00;$ 78,536,630.00;$ 5,357,342.00;$ 407,944,076.00;$ 532,906,507.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;$ 1,055,500.00;$ 1,025,500.00;$ 591,500.00;$ 0.00;$ 307,500.00;$ 307,500.00;$ 2,971,500.00;$ 1,445,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 23,791,100.00;$ 615,000.00;$ 307,500.00;$ 12,300,000.00;$ 0.00;$ 7,687,500.00;$ 307,500.00;$ 35,055,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;$ 0.00;$ 0.00;$ 6,391,100.00;$ 0.00;$ 0.00;$ 14,883,500.00;$ 134,214,100.00;$ 875,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 168,112,503.00;$ 1,252,934,924.00;$ 598,279,229.00;$ 60,111,558.00;$ 311,930,132.00;$ 28,838,912.00;$ 711,963,014.00;$ 882,852,026.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;$ 1,566,000.00;$ 5,411,500.00;$ 1,882,500.00;$ 0.00;$ 989,000.00;$ 922,500.00;$ 4,457,000.00;$ 1,827,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 3,137,600.00;$ 0.00;$ 0.00;$ 0.00;$ 307,500.00;$ 3,382,500.00;$ 0.00;$ 10,147,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;$ 0.00;$ 0.00;$ 875,500.00;$ 0.00;$ 0.00;$ 875,500.00;$ 11,381,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 392,241,682.00;$ 222,004,032.00;$ 67,525,163.00;$ 146,001,270.00;$ 120,838,140.00;$ 11,944,588.00;$ 640,828,983.00;$ 188,213,746.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.04;31;Posgrado - Certificaciones, constancias académicas y derechos complementarios;$ 353,500.00;$ 532,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 994,000.00;$ 479,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
07 - CIENCIAS DE LA SALUD;1.2.13.01.004;31;Ingresos de Vigencias Anteriores - Extension;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 25,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.01;31;Posgrado - Inscripciones ;$ 22,432,900.00;$ 3,690,000.00;$ 307,500.00;$ 8,302,500.00;$ 0.00;$ 3,997,500.00;$ 0.00;$ 23,677,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.02;31;Posgrado - Derechos de grado;$ 0.00;$ 875,500.00;$ 1,751,000.00;$ 0.00;$ 0.00;$ 45,526,000.00;$ 28,891,500.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.03;31;Posgrado - Matrículas;$ 76,019,883.00;$ 531,455,147.00;$ 297,265,086.00;$ 67,875,327.00;$ 158,871,170.00;$ 40,963,561.00;$ 401,271,111.00;$ 465,740,973.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
