Unidad;Tipo de Gasto;Auxiliar;Código concepto;Concepto;Recurso;Valor inicial;Valor apropiacion;Acumulado compromiso;Acumulado pago;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.02.006.00;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";10.0 - Aportes Nacion - Funcionamiento;$ 1,588,700,955.00;$ 9,049,239,403.93;$ 8,899,797,076.50;$ 2,470,502,232.62;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.02.007;"Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de arrendamiento y leasing";10.0 - Aportes Nacion - Funcionamiento;$ 271,760,107.00;$ 1,440,475,545.88;$ 1,425,104,284.88;$ 1,059,150,375.10;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.02.008;Servicios prestados a las empresas y servicios de producción ;10.0 - Aportes Nacion - Funcionamiento;$ 7,084,935,980.00;$ 25,840,876,190.38;$ 25,714,371,381.80;$ 11,070,326,166.08;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.02.009.00;Servicios para la comunidad, sociales y personales;10.0 - Aportes Nacion - Funcionamiento;$ 763,001,038.00;$ 2,912,125,115.00;$ 2,613,546,875.45;$ 1,375,554,128.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.02.010;Viáticos de los funcionarios en comisión;10.0 - Aportes Nacion - Funcionamiento;$ 41,520,522.00;$ 131,520,522.00;$ 90,733,856.00;$ 78,567,784.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.03.03.001;Membresías internacionales;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 9,000,000.00;$ 7,300,000.00;$ 7,300,000.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.04.05.001;Membresías nacionales;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 100,000,000.00;$ 92,509,230.00;$ 92,509,230.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.02.011;Devolución de Dotación;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 6,000,000.00;$ 912,204.00;$ 912,204.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.02.012.02;Auxilios funerarios a cargo de la entidad;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 1,976,400.00;$ 1,952,789.99;$ 1,952,789.99;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.02.030;Auxilio sindical (no de pensiones);10.0 - Aportes Nacion - Funcionamiento;$ 1,572,030.00;$ 71,480,681.35;$ 71,042,955.35;$ 71,042,955.35;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.02.094;Auxilios Salud Visual;10.0 - Aportes Nacion - Funcionamiento;$ 1,325,209.00;$ 1,325,209.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.02.097;Auxilios Médicos;10.0 - Aportes Nacion - Funcionamiento;$ 4,323,194.00;$ 4,323,194.00;$ 2,660,000.00;$ 2,660,000.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.07.03.013;Afiliación Riesgos Laborales contratistas Grado IV y V;10.0 - Aportes Nacion - Funcionamiento;$ 36,060,124.00;$ 36,060,124.00;$ 18,786,500.00;$ 18,786,500.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.08.02;Apoyo socieconómico a estudiantes;10.0 - Aportes Nacion - Funcionamiento;$ 34,535,752.00;$ 34,535,752.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.3 Transferencias Corrientes; - N/A;2.1.3.13.01.001;Sentencias;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 100,000,000.00;$ 19,867,750.00;$ 19,867,750.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.8 Tasas y Multas; - N/A;2.1.8.01.51;Impuesto sobre vehículos automotores;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 3,431,000.00;$ 3,431,000.00;$ 3,431,000.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.8 Tasas y Multas; - N/A;2.1.8.01.52;Impuesto predial unificado;10.0 - Aportes Nacion - Funcionamiento;$ 3,624,235,473.00;$ 2,366,303,244.00;$ 2,359,326,844.00;$ 2,359,326,844.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.8 Tasas y Multas; - N/A;2.1.8.03;Tasas y derechos administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 56,076,196.00;$ 109,099,796.00;$ 106,736,909.00;$ 106,736,909.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.005;Aportes generales al sistema de riesgos laborales;10.1 - Aportes Nación - PIC Convencional;$ 0.00;$ 0.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.001;"Minerales; electricidad, gas y agua";10.1 - Aportes Nación - PIC Convencional;$ 0.00;$ 0.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.004;Productos metálicos, maquinaria y equipo;10.1 - Aportes Nación - PIC Convencional;$ 0.00;$ 1,351,665,463.91;$ 0.00;$ 0.00;31/08/2026
